Freq,X,Y,Z
1705.13,0.003,0.01,0.004
1708.38,0.002,0.008,0.004
1711.62,0.002,0.009,0.003
1714.86,0.002,0.01,0.004
1718.1,0.002,0.009,0.004
1721.34,0.002,0.01,0.004
1724.58,0.002,0.011,0.004
1727.83,0.002,0.011,0.003
1731.07,0.002,0.011,0.004
1734.31,0.002,0.01,0.004
1737.55,0.001,0.011,0.004
1740.79,0.002,0.01,0.004
1744.03,0.002,0.009,0.004
1747.28,0.002,0.011,0.004
1750.52,0.002,0.01,0.004
1753.76,0.002,0.009,0.004
1757,0.002,0.008,0.004
1760.24,0.002,0.009,0.003
1763.48,0.002,0.008,0.003
1766.73,0.001,0.007,0.003
1769.97,0.001,0.006,0.003
1773.21,0.001,0.006,0.003
1776.45,0.001,0.006,0.002
1779.69,0.001,0.006,0.002
1782.93,0.001,0.006,0.003
1786.18,0.002,0.006,0.003
1789.42,0.001,0.006,0.003
1792.66,0.001,0.006,0.003
1795.9,0.001,0.006,0.003
1799.14,0.001,0.006,0.003
1802.38,0.001,0.006,0.003
1805.63,0.001,0.006,0.002
1808.87,0.001,0.006,0.002
1812.11,0.002,0.006,0.002
1815.35,0.002,0.007,0.002
1818.59,0.001,0.006,0.003
1821.83,0.001,0.007,0.002
1825.08,0.001,0.009,0.003
1828.32,0.001,0.009,0.003
1831.56,0.002,0.007,0.003
1834.8,0.001,0.008,0.003
1838.04,0.001,0.009,0.003
1841.29,0.001,0.009,0.003
1844.53,0.001,0.009,0.003
1847.77,0.001,0.007,0.003
1851.01,0.001,0.007,0.003
1854.25,0.001,0.007,0.003
1857.49,0.002,0.007,0.003
1860.74,0.002,0.005,0.003
1863.98,0.002,0.005,0.002
1867.22,0.002,0.006,0.002
1870.46,0.002,0.006,0.002
1873.7,0.002,0.006,0.002
1876.94,0.002,0.006,0.002
1880.19,0.002,0.007,0.002
1883.43,0.001,0.007,0.003
1886.67,0.001,0.007,0.003
1889.91,0.001,0.006,0.002
1893.15,0.001,0.007,0.002
1896.39,0.001,0.007,0.003
1899.64,0.001,0.006,0.002
1902.88,0.002,0.006,0.003
1906.12,0.001,0.006,0.002
1909.36,0.001,0.007,0.003
1912.6,0.001,0.007,0.003
1915.84,0.001,0.007,0.003
1919.09,0.002,0.006,0.003
1922.33,0.002,0.006,0.003
1925.57,0.001,0.005,0.003
1928.81,0.001,0.005,0.003
1932.05,0.001,0.005,0.003
1935.29,0.001,0.005,0.003
1938.54,0.001,0.004,0.003
1941.78,0.001,0.003,0.002
1945.02,0.001,0.003,0.002
1948.26,0.002,0.004,0.003
1951.5,0.002,0.004,0.003
1954.74,0.002,0.003,0.003
1957.99,0.001,0.003,0.003
1961.23,0.001,0.004,0.003
1964.47,0.002,0.004,0.003
1967.71,0.002,0.003,0.002
1970.95,0.002,0.003,0.002
1974.19,0.002,0.004,0.002
1977.44,0.002,0.004,0.003
1980.68,0.002,0.005,0.003
1983.92,0.002,0.005,0.003
1987.16,0.002,0.006,0.003
1990.4,0.002,0.007,0.003
1993.65,0.002,0.007,0.003
1996.89,0.002,0.007,0.003
2000.13,0.002,0.007,0.003
2003.37,0.002,0.007,0.003
2006.61,0.002,0.009,0.003
2009.85,0.002,0.01,0.003
2013.1,0.002,0.009,0.003
2016.34,0.002,0.012,0.003
2019.58,0.002,0.012,0.003
2022.82,0.002,0.01,0.003
2026.06,0.002,0.009,0.002
2029.3,0.002,0.012,0.003
2032.55,0.002,0.015,0.003
2035.79,0.002,0.016,0.004
2039.03,0.002,0.016,0.004
2042.27,0.002,0.014,0.003
2045.51,0.002,0.014,0.003
2048.75,0.002,0.018,0.003
2052,0.002,0.022,0.004
2055.24,0.002,0.018,0.003
2058.48,0.002,0.017,0.003
2061.72,0.002,0.022,0.003
2064.96,0.002,0.022,0.003
2068.2,0.002,0.022,0.003
2071.45,0.002,0.018,0.003
2074.69,0.003,0.017,0.003
2077.93,0.002,0.02,0.003
2081.17,0.002,0.023,0.004
2084.41,0.002,0.025,0.004
2087.65,0.002,0.025,0.004
2090.9,0.002,0.027,0.004
2094.14,0.002,0.025,0.003
2097.38,0.002,0.025,0.003
2100.62,0.002,0.026,0.004
2103.86,0.002,0.027,0.004
2107.1,0.002,0.024,0.004
2110.35,0.001,0.023,0.003
2113.59,0.001,0.023,0.003
2116.83,0.002,0.023,0.003
2120.07,0.002,0.027,0.004
2123.31,0.002,0.029,0.004
2126.55,0.002,0.021,0.004
2129.8,0.001,0.021,0.003
2133.04,0.001,0.022,0.004
2136.28,0.001,0.021,0.004
2139.52,0.001,0.02,0.004
2142.76,0.001,0.021,0.004
2146,0.001,0.019,0.004
2149.25,0.001,0.015,0.003
2152.49,0.001,0.013,0.003
2155.73,0.001,0.012,0.003
2158.97,0.001,0.011,0.003
2162.21,0.001,0.013,0.003
2165.46,0.001,0.013,0.003
2168.7,0.001,0.013,0.003
2171.94,0.001,0.011,0.003
2175.18,0.002,0.01,0.003
2178.42,0.002,0.01,0.003
2181.66,0.002,0.008,0.003
2184.91,0.001,0.007,0.003
2188.15,0.002,0.007,0.003
2191.39,0.002,0.007,0.003
2194.63,0.001,0.006,0.002
2197.87,0.001,0.007,0.002
2201.11,0.001,0.007,0.002
2204.36,0.001,0.007,0.003
2207.6,0.001,0.007,0.003
2210.84,0.001,0.007,0.003
2214.08,0.001,0.007,0.003
2217.32,0.002,0.007,0.002
2220.56,0.002,0.007,0.002
2223.81,0.001,0.007,0.003
2227.05,0.002,0.006,0.003
2230.29,0.002,0.006,0.003
2233.53,0.002,0.007,0.003
2236.77,0.002,0.006,0.003
2240.01,0.002,0.006,0.003
2243.26,0.002,0.006,0.003
2246.5,0.002,0.007,0.003
2249.74,0.002,0.007,0.003
2252.98,0.002,0.007,0.003
2256.22,0.002,0.007,0.002
2259.46,0.002,0.007,0.002
2262.71,0.002,0.007,0.002
2265.95,0.002,0.006,0.002
2269.19,0.002,0.007,0.003
2272.43,0.002,0.009,0.003
2275.67,0.002,0.009,0.003
2278.91,0.002,0.008,0.002
2282.16,0.002,0.007,0.002
2285.4,0.002,0.006,0.002
2288.64,0.001,0.006,0.002
2291.88,0.002,0.006,0.002
2295.12,0.001,0.007,0.002
2298.36,0.002,0.008,0.002
2301.61,0.001,0.007,0.001
2304.85,0.001,0.007,0.002
2308.09,0.002,0.008,0.002
2311.33,0.002,0.008,0.002
2314.57,0.002,0.008,0.002
2317.81,0.001,0.007,0.002
2321.06,0.002,0.007,0.002
2324.3,0.002,0.007,0.002
2327.54,0.002,0.008,0.002
2330.78,0.002,0.011,0.002
2334.02,0.002,0.011,0.002
2337.27,0.002,0.009,0.002
2340.51,0.002,0.011,0.002
2343.75,0.002,0.013,0.002
2346.99,0.002,0.016,0.003
2350.23,0.002,0.018,0.003
2353.47,0.002,0.02,0.003
2356.72,0.003,0.021,0.003
2359.96,0.002,0.021,0.003
2363.2,0.002,0.021,0.003
2366.44,0.003,0.022,0.004
2369.68,0.002,0.021,0.004
2372.92,0.003,0.022,0.004
2376.17,0.002,0.021,0.004
2379.41,0.003,0.026,0.004
2382.65,0.002,0.023,0.004
2385.89,0.002,0.02,0.003
2389.13,0.002,0.023,0.004
2392.37,0.002,0.024,0.004
2395.62,0.002,0.023,0.003
2398.86,0.003,0.024,0.003
2402.1,0.002,0.019,0.003
2405.34,0.002,0.019,0.003
2408.58,0.002,0.017,0.003
2411.82,0.002,0.015,0.003
2415.07,0.003,0.018,0.003
2418.31,0.003,0.019,0.004
2421.55,0.003,0.02,0.004
2424.79,0.003,0.02,0.004
2428.03,0.003,0.02,0.004
2431.27,0.003,0.017,0.004
2434.52,0.003,0.016,0.004
2437.76,0.004,0.018,0.004
2441,0.003,0.017,0.003
2444.24,0.003,0.019,0.004
2447.48,0.003,0.017,0.004
2450.72,0.004,0.019,0.004
2453.97,0.003,0.017,0.004
2457.21,0.003,0.017,0.004
2460.45,0.004,0.019,0.004
2463.69,0.004,0.017,0.004
2466.93,0.004,0.017,0.004
2470.17,0.004,0.017,0.004
2473.42,0.004,0.014,0.003
2476.66,0.004,0.013,0.003
2479.9,0.004,0.015,0.004
2483.14,0.004,0.013,0.003
2486.38,0.003,0.013,0.003
2489.63,0.004,0.013,0.003
2492.87,0.004,0.012,0.003
2496.11,0.004,0.014,0.003
2499.35,0.005,0.015,0.004
2502.59,0.005,0.014,0.004
2505.83,0.004,0.012,0.003
2509.08,0.004,0.013,0.003
2512.32,0.005,0.016,0.004
2515.56,0.005,0.015,0.004
2518.8,0.004,0.012,0.003
2522.04,0.005,0.013,0.003
2525.28,0.005,0.015,0.004
